AudioLDM Single GPU 1 epoch

FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                   ConvolutionBackward0         0.02%       2.060ms         2.64%     287.773ms     968.933us       0.000us         0.00%     521.165ms       1.755ms           297
                             aten::convolution_backward         1.23%     134.000ms         2.62%     285.713ms     961.997us     456.158ms         9.76%     521.165ms       1.755ms           297
                                     CheckpointFunction         0.13%      14.460ms         2.26%     246.233ms       5.130ms       0.000us         0.00%     486.209ms      10.129ms            48
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     405.145ms         8.67%     405.145ms      47.077us          8606
autograd::engine::evaluate_function: SoftmaxBackward...         0.01%     807.000us         0.10%      10.885ms     113.385us       0.000us         0.00%     335.641ms       3.496ms            96
                                       SoftmaxBackward0         0.01%     968.000us         0.09%      10.078ms     104.979us       0.000us         0.00%     335.641ms       3.496ms            96
                           aten::_softmax_backward_data         0.03%       2.771ms         0.08%       9.110ms      94.896us     164.921ms         3.53%     335.641ms       3.496ms            96
                                               aten::mm         0.68%      73.713ms         1.82%     197.843ms     117.067us     223.505ms         4.78%     333.833ms     197.534us          1690
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     307.847ms         6.58%     307.847ms       1.494ms           206
      autograd::engine::evaluate_function: BmmBackward0         0.03%       3.025ms         0.42%      46.234ms     240.802us       0.000us         0.00%     296.609ms       1.545ms           192
                                           BmmBackward0         0.02%       2.440ms         0.40%      43.209ms     225.047us       0.000us         0.00%     296.609ms       1.545ms           192
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 10.894s
Self CUDA time total: 4.675s

LDM Single GPU 1 epoch

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                      aten::convolution         0.10%        1.685s         1.82%       29.979s     185.915us       0.000us         0.00%      243.720s       1.511ms        161250
